es_monitor,SVC,epoch,step
0.0,0.0,0,9
1.0,0.0,1,19
2.0,0.0,2,29
3.0,0.0,3,39
4.0,0.0,4,49
5.0,0.0,5,59
6.0,0.0,6,69
7.0,0.0,7,79
8.0,0.0,8,89
9.0,0.0,9,99
10.0,0.0,10,109
11.0,0.0,11,119
12.0,0.0,12,129
13.0,0.0,13,139
14.0,0.0,14,149
15.0,0.0,15,159
16.0,0.0,16,169
17.0,0.0,17,179
18.0,0.0,18,189
19.0,0.0,19,199
20.0,0.0,20,209
21.0,0.0,21,219
22.0,0.0,22,229
23.0,0.0,23,239
24.0,0.0,24,249
25.0,0.0,25,259
26.0,0.0,26,269
27.0,0.0,27,279
28.0,0.0,28,289
29.0,0.0,29,299
30.0,0.0,30,309
31.0,0.0,31,319
32.0,0.0,32,329
33.0,0.0,33,339
34.0,0.0,34,349
35.0,0.0,35,359
36.0,0.0,36,369
37.0,0.0,37,379
38.0,0.0,38,389
39.0,0.0,39,399
40.0,0.0,40,409
41.0,0.0,41,419
42.0,0.0,42,429
43.0,0.0,43,439
44.0,0.0,44,449
45.0,0.0,45,459
46.0,0.0,46,469
47.0,0.0,47,479
48.0,0.0,48,489
49.0,0.0,49,499
50.0,0.0,50,509
51.0,0.0,51,519
52.0,0.0,52,529
53.0,0.0,53,539
54.0,0.0,54,549
55.0,0.0,55,559
56.0,0.0,56,569
57.0,0.0,57,579
58.0,0.0,58,589
59.0,0.0,59,599
60.0,0.0,60,609
61.0,0.0,61,619
62.0,0.0,62,629
63.0,0.0,63,639
64.0,0.0,64,649
65.0,0.0,65,659
66.0,0.0,66,669
67.0,0.0,67,679
68.0,0.0,68,689
69.0,0.0,69,699
70.0,0.0,70,709
71.0,0.0,71,719
72.0,0.0,72,729
73.0,0.0,73,739
74.0,0.0,74,749
75.0,0.0,75,759
76.0,0.0,76,769
77.0,0.0,77,779
78.0,0.0,78,789
79.0,0.0,79,799
80.0,0.0,80,809
81.0,0.0,81,819
82.0,0.0,82,829
83.0,0.0,83,839
84.0,0.0,84,849
85.0,0.0,85,859
86.0,0.0,86,869
87.0,0.0,87,879
88.0,0.0,88,889
89.0,0.0,89,899
90.0,0.0,90,909
91.0,0.0,91,919
92.0,0.0,92,929
93.0,0.0,93,939
94.0,0.0,94,949
95.0,0.0,95,959
96.0,0.0,96,969
97.0,0.0,97,979
98.0,0.0,98,989
99.0,0.0,99,999
100.0,0.0,100,1009
101.0,0.0,101,1019
102.0,0.0,102,1029
103.0,0.0,103,1039
104.0,0.0,104,1049
105.0,0.0,105,1059
106.0,0.0,106,1069
107.0,0.0,107,1079
108.0,0.0,108,1089
109.0,0.0,109,1099
110.0,0.0,110,1109
111.0,0.0,111,1119
112.0,0.0,112,1129
113.0,0.0,113,1139
114.0,0.0,114,1149
115.0,0.0,115,1159
116.0,0.0,116,1169
117.0,0.0,117,1179
118.0,0.0,118,1189
119.0,0.0,119,1199
120.0,0.0,120,1209
121.0,0.0,121,1219
122.0,0.0,122,1229
123.0,0.0,123,1239
124.0,0.0,124,1249
125.0,0.0,125,1259
126.0,0.0,126,1269
127.0,0.0,127,1279
128.0,0.0,128,1289
129.0,0.0,129,1299
130.0,0.0,130,1309
131.0,0.0,131,1319
132.0,0.0,132,1329
133.0,0.0,133,1339
134.0,0.0,134,1349
135.0,0.0,135,1359
136.0,0.0,136,1369
137.0,0.0,137,1379
138.0,0.0,138,1389
139.0,0.0,139,1399
140.0,0.0,140,1409
141.0,0.0,141,1419
142.0,0.0,142,1429
143.0,0.0,143,1439
144.0,0.0,144,1449
145.0,0.0,145,1459
146.0,0.0,146,1469
147.0,0.0,147,1479
148.0,0.0,148,1489
149.0,0.0,149,1499
150.0,0.0,150,1509
151.0,0.0,151,1519
152.0,0.0,152,1529
153.0,0.0,153,1539
154.0,0.0,154,1549
155.0,0.0,155,1559
156.0,0.0,156,1569
157.0,0.0,157,1579
158.0,0.0,158,1589
159.0,0.0,159,1599
160.0,0.0,160,1609
161.0,0.0,161,1619
162.0,0.0,162,1629
163.0,0.0,163,1639
164.0,0.0,164,1649
165.0,0.0,165,1659
166.0,0.0,166,1669
167.0,0.0,167,1679
168.0,0.0,168,1689
169.0,0.0,169,1699
170.0,0.0,170,1709
171.0,0.0,171,1719
172.0,0.0,172,1729
173.0,0.0,173,1739
174.0,0.0,174,1749
175.0,0.0,175,1759
176.0,0.0,176,1769
177.0,0.0,177,1779
